Title,Korean_Title,Release_Year,Episodes,Special_Episodes,Status,Genre_1,Genre_2,Genre_3,Setting,Female_Lead_Type,Male_Lead_Type,Trope_1,Trope_2,Trope_3,Trope_4,Platform_1,Platform_2,Availability_Type,Schedule,Rating,Rating_Count,Popularity,Studio,Similar_To_1,Similar_To_2
Alchemy of Souls,환혼,2022–23,30,0,Completed,Historical Fantasy,Action,Wuxia/Xianxia Romance,Daeho (a fictional mystical country),Elite soul-swapping assassin in a weak servant body,Troubled young master with sealed magical power-gates,Master-servant dynamics,hidden identity,forbidden magic,,Netflix,,Subscription,Both parts fully available,8.7,20k+,Acclaimed for elite CGI worldbuilding and action,tvN / Studio Dragon,Hotel Del Luna,The Untamed
Itaewon Class,이태원 클라쓰,2020,16,0,Completed,Business Revenge,Youth Underdog Melodrama,,Itaewon entertainment district (Seoul),"Highly intelligent, sociopathic influencer & pub manager",Principles-first ex-convict building a food empire,David vs. Goliath,underdog success,found family,revenge,Netflix,,Subscription,Full season available,8.2,27k+,Highly praised for progressive social inclusion themes,JTBC / Showbox,Start-Up,Fight for My Way
Moving,무빙,2023,20,0,Completed,Sci-Fi Superhero Action,Espionage,Family Melodrama,"Jeongwon High School (Seoul), historical black-ops tracking",High school student with rapid regenerative healing powers,"Innocent, cheerful boy who has floating/flying powers",Hidden powers,generational secrets,parental sacrifices,,JioHotstar,,Subscription,Full season available,8.5,14k+,Swept Asia Contents Awards; Disney+ global record-breaker,Disney+ / Studio Flow,The Uncanny Counter,All of Us Are Dead
Flower of Evil,악의 꽃,2020,16,0,Completed,Psychological Thriller,Melodrama,Romance,Seoul (Metropolitan Investigation Unit & metalcraft home shop),"Sharp, deeply loving homicide detective",Metal craftsman hiding an antisocial disorder & dark past,Hidden identity,cat-and-mouse,marital deceit,serial killer mystery,Netflix,Viki,Subscription / Viki Free Tier,Full season available,8.6,13k+,Masterclass screenwriting and suspense masterpiece,tvN / Studio Dragon,Beyond Evil,Healer
Lovely Runner,선재 업고 튀어,2024,16,0,Completed,Time-slip Fantasy,Youth Romance,Rom-Com,"Modern Seoul, 2008 / 2009 retro high school & college campus","Paralyzed, passionate top-star fan who travels back in time",Devoted high-school swimmer turned top K-pop idol,Time travel,first love,saving each other,celebrity-fan fate,Viki,Netflix,Viki Pass / Netflix Subs,Full season available,8.7,12k+,Massive global breakout viral hit,tvN / Bon Factory,Twinkling Watermelon,Extraordinary You
Reply 1988,응답하라 1988,2015,20,0,Completed,Slice of Life,Comedy,Family Drama,Ssangmun-dong (1988 Seoul),"Bright, loud, and warm neighborhood schoolgirl","Genius, quiet Go player / Tsundere childhood friend",Childhood friends to lovers,Retro nostalgia,Husband mystery,Found family,Netflix,Viki,Subscription,Full season available,9.1,N/A,BBC-hailed television masterpiece; cultural phenomenon,tvN,Twenty-Five Twenty-One,Hospital Playlist
Hospital Playlist,슬기로운 의사생활,2020,12,0,Completed,Medical Drama,Slice of Life,Musical/Comedy,Yulje Medical Center (Seoul),"Competent, highly respected neurosurgeon","Kind, goofy pancreatic surgeon / Tsundere cardiosurgeon",Close friends to lovers,Workplace bonds,Band/Music therapy,Everyday life saving,Netflix,,Subscription,Full season available,8.8,N/A,Critically acclaimed; massive domestic viewership records,tvN,Reply 1988,Extraordinary Attorney Woo
Mr. Sunshine,미스터 션샤인,2018,24,0,Completed,Historical Romance,Action Melodrama,Political Epic,Hanseong (Early 1900s Joseon/Seoul),Noblewoman secretly operating as a sniper activist,Joseon-born escapee turned US Marine Corps Officer,Star-crossed lovers,Impending tragedy,Love triangle/quadrangle,Freedom fighters,Netflix,,Subscription,Full season available,8.9,N/A,Won 2018 'Drama of the Year'; 6th highest cable rating in history,tvN,Goblin (Guardian),Alchemy of Souls
Signal,시그널,2016,16,0,Completed,Sci-Fi Thriller,Police Procedural,Crime Mystery,Seoul (2015 Cold Case Squad & 1989 Police Precinct),"Fierce, determined detective team captain",Cynical criminal profiler holding a magical walkie-talkie,Time-defying communication,Butterfly effect,Solved cold cases,Real-crime inspired cases,Netflix,Prime Video,Subscription,Full season available,8.5,N/A,Sparked complete mystery renaissance; season 2 confirmed,tvN,Stranger,Flower of Evil
Healer,힐러,2014,20,0,Completed,Action Romance,Thriller,Political Corruption,Seoul (Modern and late 1980s pirate radio era),"""Feisty, optimistic tabloid entertainment reporter""","Elite, agile, high-tech night courier for hire",Secret identity,Shared childhood trauma,Undercover workplace romance,Vigilante justice,Netflix,Viki,Subscription,Full season available,8.4,N/A,Massive international cult classic Hallyu hit,KBS2,Descendants of the Sun,Vincenzo
What's Wrong with Secretary Kim,김비서가 왜 그럴까,2018,16,0,Completed,Romantic Comedy,Office Romance,Corporate,Seoul (Yumyeong Group Headquarters),"Perfect, hyper-capable, hardworking executive secretary","Narcissistic, brilliant corporate vice-chairman",Arrogant boss x employee,Resignation crisis,Childhood kidnapping mystery,Fake-dating tactics,Netflix,Viki,Subscription,Full season available,8.1,N/A,Golden standard for corporate Rom-Com; viral dance/clipping memes,tvN,Business Proposal,King the Land
Hotel del Luna,호텔 델루나,2019,16,0,Completed,Dark Fantasy,Supernatural Romance,Horror Comedy,Seoul (Mysterious spectral hotel property),"Ancient, volatile, high-fashion hotel CEO","Elite, rational, Harvard-educated hotel manager",Immortal x mortal curse,Ghost-of-the-week resolution,Atoning for centuries-old sins,Bittersweet separation,Netflix,Viki,Subscription,Full season available,8.2,N/A,tvN's highest-rated drama of 2019; iconic high-fashion lookbook,tvN / GTist,Goblin (Guardian),Alchemy of Souls
SKY Castle,SKY 캐슬,2018,20,0,Completed,Satirical Drama,Mystery Thriller,Dark Comedy,Luxury suburban condo community (Seoul),"Materialistic, obsessively ambitious Tiger Mom",Arrogant elite orthopedic surgeon,Extreme academic competition,Poisonous family greed,Mysterious tutor manipulation,Elite murder mystery,Viki,Netflix,Subscription,Full season available,8.6,N/A,Massive social phenomenon that exposed real elite academy pressures,JTBC,The Glory,Queen of Tears
The Glory,더 글로리,2022,16,0,Completed,Revenge Thriller,Psychological Drama,Noir,Seoul & Semyeong City,"Grim, calculated school-violence survivor turned teacher",Gentle plastic surgeon hiding his own mental scars,Meticulous lifetime scheme,Bully demolition,Executioner dynamic,Game of Go symbolism,Netflix,,Subscription,Two parts fully released,8.8,N/A,#1 Global Non-English hit; massive award-winning thriller sweep,Netflix / Hwa&Dam,Itaewon Class,Beyond Evil
My Mister,나의 아저씨,2018,16,0,Completed,Human Slice of Life,Corporate Drama,Melodrama,Mapo-gu district (Seoul),"Stoic, deeply indebted, impoverished temporary clerk","Exhausted, kind-hearted structural engineering manager",Unlikely platonic bond,Healing emotional scars,Corporate espionage twist,Gritty societal reality,Netflix,Viki,Subscription,Full season available,8.9,N/A,Swept Baeksang Arts Awards; regarded globally as an emotional masterpiece,tvN,Move to Heaven,Our Blues
Strong Woman Do Bong-soon,힘쎈여자 도봉순,2017,16,1,Completed,Rom-Com,Supernatural Fantasy,Crime Thriller,Dobong-dong district (Seoul),Tiny girl endowed with secret hereditary super-strength,"Eccentric, playful gaming company CEO",CEO x bodyguard inversion,Fake dating antics,Neighborhood serial kidnapper hunt,Gaming culture lifestyle,Viki,Netflix,Subscription / Free Tier,Full season available,8.2,N/A,Set massive initial JTBC cable rating milestones; legendary lead chemistry,JTBC,Weightlifting Fairy Kim Bok-joo,Business Proposal
Weightlifting Fairy Kim Bok-joo,역도요정 김복주,2016,16,0,Completed,Sports Romance,Youth Coming-of-Age,Rom-Com,Hanwool College of Physical Education (Seoul),Passionate college weightlifter with hidden insecurities,"Playful, traumatised competitive collegiate swimmer",Friends to lovers transition,Sports training hardships,Campus romance dynamics,Quirky friend trios,Viki,Netflix,Subscription / Free Tier,Full season available,8.4,N/A,Global internet darling with immense TikTok and streaming popularity,MBC,Strong Woman Do Bong-soon,Twenty-Five Twenty-One
W: Two Worlds Apart,W,2016,16,1,Completed,Fantasy Thriller,Sci-Fi Romance,Suspense,Alternate Seoul / Visual Webtoon Comic Universe,Practical cardiothoracic surgical resident,Olympic gold-medalist webtoon universe billionaire tycoon,Cross-dimensional jumps,Comic book world physics,Escaping the comic author,Murderer hunt setup,Viki,Netflix,Subscription / Free Tier,Full season available,8,N/A,Highly praised for breakthrough creative writing concepts and visual tracking,MBC,Alchemy of Souls,Lovely Runner
While You Were Sleeping,당신이 잠든 사이에,2017,32,0,Completed,Fantasy Romance,Legal Drama,Mystery Thriller,Seoul Hanbada-style court districts,Assertive field reporter who dreams of future tragedies,Clumsy rookie prosecutor trying to stop the dreams,Preconceived dream premonitions,Intertwined past fates,Case-of-the-week battles,Corrupt lawyer opposition,Viki,,Subscription,Full season available,8.3,N/A,Major international Hallyu hit with star-studded lead cast pairing,SBS,Extraordinary Attorney Woo,Pinocchio
Prison Playbook,슬기로운 감빵생활,2017,16,0,Completed,Dark Comedy,Slice of Life,Human Drama,Seobu Penitentiary (Seoul),"Resilient, supportive traditional handicraft artist","Silent, elite baseball superstar turned convict",Cellmate found family,Prison system daily dark humor,Redemption and recovery,Reluctant criminal bond,Netflix,,Subscription,Full season available,8.8,N/A,Critically acclaimed masterpiece tracking dark social reality with humor,tvN,Hospital Playlist,Reply 1988
